Library_ID	Run_ID	Filename	md5sum
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_H01	m150518_212557_42265_c100803552550000001823173210081577_s1_p0.2.bax.h5	a7b3dcda594fb2adc1d0e3fd32e33c79
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_H01	m150518_212557_42265_c100803552550000001823173210081577_s1_p0.1.bax.h5	a85e92e7fddf3620943b5498aae78aca
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_D01	m150518_195924_42161_c100803362550000001823173210081523_s1_p0.metadata.xml	61d53f146b67dd05c01bd6520802bd5d
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_D01	m150518_195924_42161_c100803362550000001823173210081523_s1_p0.bas.h5	bcf5d94dbc32bca5dcfd6433182d0192
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_D01	m150518_195924_42161_c100803362550000001823173210081523_s1_p0.3.bax.h5	0d29fb5d14ea18463d2cd00d311466da
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_D01	m150518_195924_42161_c100803362550000001823173210081523_s1_p0.2.bax.h5	85d99202aca04acbae18116f564a5337
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_D01	m150518_195924_42161_c100803362550000001823173210081523_s1_p0.1.bax.h5	056338541f7e589f6e63cc42ab2a0c54
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_D01	m150518_201031_42142_c100803382550000001823173210081503_s1_p0.metadata.xml	ad891c527b3a8d2ecdf42df88aa51384
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_D01	m150518_201031_42142_c100803382550000001823173210081503_s1_p0.bas.h5	e6b1d31ff516c54e214a54cca03f125d
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_D01	m150518_201031_42142_c100803382550000001823173210081503_s1_p0.3.bax.h5	4552774ded3352c88021e7a31c143de0
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_D01	m150518_201031_42142_c100803382550000001823173210081503_s1_p0.2.bax.h5	7590311e718ad9ec5c1b9dc6407d7d90
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_D01	m150518_201031_42142_c100803382550000001823173210081503_s1_p0.1.bax.h5	65627cdae45564f7eff75abb81f3e565
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_G01	m150518_154737_42271_c100803292550000001823173210081526_s1_p0.metadata.xml	bf3d8e15d073a85bed9ccfdecc9d6406
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_G01	m150518_154737_42271_c100803292550000001823173210081526_s1_p0.bas.h5	3ca709c5a8314eecab2a0e8c83d85b7a
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_G01	m150518_154737_42271_c100803292550000001823173210081526_s1_p0.3.bax.h5	edef875f29aa869da60bc496e852f55b
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_G01	m150518_154737_42271_c100803292550000001823173210081526_s1_p0.2.bax.h5	774295c00c0b7040496e1ffe57ac7a66
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_G01	m150518_154737_42271_c100803292550000001823173210081526_s1_p0.1.bax.h5	b4924646dbb04d5d4160b85b81a9ba85
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_G01	m150518_150942_42265_c100803552550000001823173210081576_s1_p0.metadata.xml	7a683ce053f789f5457dd0e3acf9e392
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_G01	m150518_150942_42265_c100803552550000001823173210081576_s1_p0.bas.h5	7daa04e6024ce86e0b3915611eec8bdc
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_G01	m150518_150942_42265_c100803552550000001823173210081576_s1_p0.3.bax.h5	ea0f49a87b8d6af0a94829b5018335eb
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_G01	m150518_150942_42265_c100803552550000001823173210081576_s1_p0.2.bax.h5	6a91f734f1872f7db5f23d2c7d756feb
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_G01	m150518_150942_42265_c100803552550000001823173210081576_s1_p0.1.bax.h5	029a155e4f7cd7e66d354a14bdb44751
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_C01	m150518_133832_42161_c100803362550000001823173210081522_s1_p0.metadata.xml	9eebbbb1058fdce2f18754bdef7d1639
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_C01	m150518_133832_42161_c100803362550000001823173210081522_s1_p0.bas.h5	b107fd03e376a01a389df785e59d9de5
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_C01	m150518_133832_42161_c100803362550000001823173210081522_s1_p0.3.bax.h5	38a491305822e62c51063fee8a0bf6cf
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_C01	m150518_133832_42161_c100803362550000001823173210081522_s1_p0.2.bax.h5	f07a99f908b64104128c0a10c5db9ac5
